ukprn,he provider,academic year,surplus_vs_income,staff_vs_income,unrestricted_vs_income,ext_borrow_vs_income,net_assets_vs_expend,current_assets_vs_liability,ops_cash_vs_income,net_liquidity_days,debt_service_ratio,avg_salary,avg_remuneration,academic_salary,ps_staff_salary,uk_vs_total_fees,total_fees_vs_income,fbg_vs_income,research_vs_income,donate_vs_income,reside_cater_vs_income,total_income,tuition_fees,finance_vs_expend,depreciate_amort_vs_expend,staff_vs_expend,capital_vs_expend,total_expenditure,vc_bonus_vs_salary,vc_avg_salary,vc_avg_remunerate,vc_median_salary,vc_median_remunerate,provider region,provider country,russell group filter,pre 92 filter,post 92 filter
10000291.0,Anglia Ruskin University,2016/17,0.054,0.48,0.11,0.405,46.077,1.194,0.086,88.35,2.44,37.796,46.281,,,0.865,0.706,0.085,0.031,0.001,0.036,213994.0,151005.0,0.03,0.062,0.507,0.143,202514.0,0.0,6.8,6.633,0.0,0.0,East of England,England,Non-member,Non-member,Member
10000291.0,Anglia Ruskin University,2017/18,0.046,0.497,0.243,0.398,106.277,1.103,0.137,84.06,4.118,39.743,49.735,49.402,32.861,0.853,0.775,0.093,0.025,0.0,0.038,207937.0,161161.0,0.033,0.079,0.521,0.149,198318.0,0.0,6.567,6.233,8.0,9.2,East of England,England,Non-member,Non-member,Member
10000291.0,Anglia Ruskin University,2018/19,0.079,0.48,0.183,0.367,100.557,1.268,0.139,98.396,4.57,41.621,52.391,52.505,33.351,0.853,0.782,0.092,0.029,0.001,0.036,216597.0,169406.0,0.029,0.067,0.521,0.081,199463.0,0.0,9.346,8.169,6.95,7.05,East of England,England,Non-member,Non-member,Member
10000291.0,Anglia Ruskin University,2019/20,0.004,0.411,0.115,0.315,42.802,1.171,0.105,76.205,3.857,42.409,55.338,52.767,34.733,0.815,0.836,0.084,0.019,0.001,0.025,240844.0,201412.0,0.023,0.055,0.413,0.052,239851.0,0.0,6.484,6.162,7.0,7.1,East of England,England,Non-member,Non-member,Member
10000291.0,Anglia Ruskin University,2020/21,0.031,0.37,0.157,0.268,59.812,1.213,0.129,93.625,5.322,42.66,55.151,55.333,34.073,0.799,0.856,0.086,0.014,0.001,0.017,268874.0,230141.0,0.018,0.051,0.382,0.056,260411.0,0.0,6.446,6.219,7.0,7.1,East of England,England,Non-member,Non-member,Member
10000291.0,Anglia Ruskin University,2021/22,0.045,0.362,0.578,0.215,222.526,1.282,0.182,132.639,9.038,43.661,56.446,57.635,33.83,0.792,0.859,0.073,0.018,0.0,0.023,317866.0,273092.0,0.015,0.044,0.379,0.035,303510.0,0.0,6.413,6.183,7.0,7.1,East of England,England,Non-member,Non-member,Member
10000385.0,The Arts University Bournemouth,2016/17,0.081,0.413,1.097,0.666,441.465,1.452,0.239,108.102,5.084,35.214,45.989,,,0.808,0.729,0.085,0.0,0.001,0.107,40533.0,29557.0,0.043,0.131,0.449,0.099,37252.0,0.0,5.339,4.784,0.0,0.0,South West,England,Non-member,Non-member,Non-member
10000385.0,The Arts University Bournemouth,2017/18,0.032,0.433,1.149,0.644,438.974,1.455,0.226,112.426,4.599,35.156,47.61,41.403,26.0,0.804,0.734,0.066,0.003,0.001,0.126,43147.0,31662.0,0.041,0.122,0.447,0.217,41753.0,0.0,5.433,4.726,6.6,6.9,South West,England,Non-member,Non-member,Non-member
10000385.0,The Arts University Bournemouth,2018/19,0.012,0.459,1.128,0.623,422.526,1.366,0.219,116.373,3.378,36.432,49.201,43.03,26.821,0.774,0.73,0.065,0.003,0.0,0.124,42661.0,31132.0,0.04,0.126,0.465,0.159,42137.0,0.0,5.352,4.675,6.4,6.8,South West,England,Non-member,Non-member,Non-member
10000385.0,The Arts University Bournemouth,2019/20,-0.009,0.494,0.886,0.795,325.647,0.302,0.155,36.388,2.704,37.722,52.392,35.647,40.752,0.764,0.743,0.059,0.0,0.001,0.126,43087.0,31997.0,0.041,0.125,0.489,0.488,43463.0,0.0,5.647,6.184,7.15,7.6,South West,England,Non-member,Non-member,Non-member
10000385.0,The Arts University Bournemouth,2020/21,-0.103,0.539,0.812,0.938,274.446,0.429,0.165,77.271,2.835,37.517,54.591,35.747,40.211,0.755,0.778,0.068,0.0,0.001,0.112,41106.0,31961.0,0.041,0.126,0.489,0.145,45358.0,0.0,5.997,5.037,7.1,7.2,South West,England,Non-member,Non-member,Non-member
10000385.0,The Arts University Bournemouth,2021/22,-0.046,0.499,1.204,0.794,425.242,0.577,0.191,101.026,3.43,37.633,56.233,36.233,39.697,0.757,0.718,0.047,0.006,0.0,0.171,48820.0,35065.0,0.04,0.118,0.477,0.08,51046.0,0.0,5.979,4.89,7.2,7.3,South West,England,Non-member,Non-member,Non-member
10000571.0,Bath Spa University,2016/17,0.06,0.491,0.956,0.729,374.272,3.098,0.182,228.139,2.991,36.787,47.787,,,0.877,0.749,0.065,0.018,0.003,0.125,82791.0,61994.0,0.04,0.067,0.523,0.066,77787.0,0.0,6.796,16.908,0.0,0.0,South West,England,Non-member,Non-member,Member
10000571.0,Bath Spa University,2017/18,0.011,0.541,1.04,0.685,386.681,2.681,0.1,188.327,1.503,37.454,49.146,43.289,32.473,0.909,0.759,0.065,0.02,0.002,0.109,83954.0,63754.0,0.038,0.056,0.548,0.11,83015.0,0.0,6.301,5.351,8.567,8.4,South West,England,Non-member,Non-member,Member
10000571.0,Bath Spa University,2018/19,-0.013,0.544,0.9,0.712,324.471,1.735,0.117,133.107,1.705,36.903,49.197,43.741,30.955,0.898,0.755,0.059,0.024,0.003,0.103,83256.0,62867.0,0.036,0.055,0.537,0.263,84304.0,0.0,5.691,5.061,6.3,6.4,South West,England,Non-member,Non-member,Member
10000571.0,Bath Spa University,2019/20,0.002,0.545,0.721,0.68,263.706,1.927,0.065,113.124,0.941,38.974,53.633,44.955,33.602,0.866,0.788,0.055,0.025,0.002,0.084,82495.0,65033.0,0.039,0.062,0.546,0.048,82341.0,0.0,5.44,4.699,5.9,6.9,South West,England,Non-member,Non-member,Member
10000571.0,Bath Spa University,2020/21,0.011,0.577,0.758,0.657,279.624,2.195,0.124,136.356,1.819,37.982,51.273,44.69,32.134,0.874,0.802,0.06,0.019,0.001,0.082,80454.0,64491.0,0.04,0.062,0.584,0.012,79600.0,0.0,5.608,4.934,6.5,7.5,South West,England,Non-member,Non-member,Member
10000571.0,Bath Spa University,2021/22,-0.002,0.486,1.215,0.186,442.959,1.453,0.089,119.862,0.226,39.946,51.967,46.288,34.219,0.909,0.788,0.045,0.017,0.001,0.089,98792.0,77857.0,0.048,0.042,0.485,0.073,98943.0,0.0,5.407,4.945,6.3,7.5,South West,England,Non-member,Non-member,Member
10000712.0,University College Birmingham,2016/17,0.125,0.507,2.436,0.0,1015.729,4.463,0.186,189.353,inf,35.163,47.671,,,0.685,0.637,0.212,0.0,0.0,0.105,52033.0,33128.0,0.011,0.068,0.579,0.09,45552.0,0.0,6.228,5.139,0.0,0.0,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2017/18,0.138,0.481,2.654,0.0,1124.444,5.088,0.197,260.754,inf,35.278,46.138,32.287,45.683,0.638,0.644,0.186,0.0,0.0,0.107,52833.0,34030.0,0.011,0.066,0.558,0.182,45520.0,0.0,6.35,5.419,6.8,6.7,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2018/19,0.087,0.501,2.672,0.0,1068.451,1.774,0.206,147.246,inf,36.227,46.844,33.229,46.555,0.621,0.666,0.16,0.0,0.0,0.109,53204.0,35443.0,0.009,0.054,0.549,0.546,48572.0,0.0,6.294,7.728,8.4,10.2,West Midlands,England,Non-member,Non-member,Non-member
10000712.0,University College Birmingham,2019/20,0.045,0.538,2.357,0.001,900.933,1.085,0.014,36.956,inf,37.296,49.237,34.214,47.915,0.594,0.686,0.153,0.0,0.0,0.08,52862.0,36289.0,0.009,0.072,0.564,0.314,50471.0,0.0,5.443,5.138,6.2,6.7,West Midlands,England,Non-member,Non-member,Non-member
